"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,40938146,132435144,1,13-NOV-20,2,"N",5,5,15,"M",1,2,"N","R","",15,0
2020,40933672,132435169,1,06-DEC-20,1,"N",51,5,22,"M",1,,"R","","",22,0
2020,40938262,132435359,1,26-NOV-20,2,"N",27,5,28,"M",1,2,"R","","",28,0
2020,40129672,129795025,1,14-APR-20,2,"C",16,5,23,"F",1,2,"R","","",23,0
2020,40134700,129795160,1,30-APR-20,2,"N",51,5,18,"M",1,2,"R","","",18,0
2020,40129727,129795261,1,28-SEP-20,3,"C",16,5,37,"M",1,2,"R","","",37,0
2020,40134869,129795490,1,27-MAY-20,1,"C",2,5,46,"M",1,2,"R","","",46,0
2020,40129832,129795571,1,21-APR-20,2,"N",37,5,33,"F",1,2,"N","","",33,0
2020,40129844,129795637,1,20-MAY-20,2,"N",23,5,27,"M",1,2,"N","","",27,0
2020,40129863,129795695,1,23-JUL-20,2,"N",44,5,59,"M",1,2,"N","","",59,0
2020,41255300,133557425,1,04-JUN-20,2,"N",41,5,30,"F",1,2,"N","","",30,0
2020,41255301,133557425,2,04-JUN-20,2,"N",41,5,33,"M",1,2,"N","","",33,0
2020,40129510,129794499,1,15-MAY-20,2,"C",51,5,32,"F",1,2,"R","","",32,0
2020,40124453,129794505,1,19-JUL-20,1,"N",51,5,26,"M",1,2,"R","","",26,0
2020,40124455,129794523,1,23-APR-20,3,"M",63,5,32,"M",1,,"R","","",32,0
2020,40124461,129794554,1,17-APR-20,2,"N",5,5,54,"F",0,2,"R","","",54,0
2020,40124480,129794636,1,18-APR-20,2,"N",51,5,28,"F",1,2,"R","","",28,0
2020,40124483,129794642,1,13-MAR-20,2,"N",16,5,23,"F",1,2,"R","","",23,0
2020,40129561,129796279,1,10-MAY-20,2,"C",51,5,29,"M",1,2,"R","","",29,0
2020,40129670,129796485,1,20-APR-20,2,"N",51,5,16,"F",1,,"R","R","",16,0
2020,40129691,129795132,1,08-OCT-20,1,"N",27,5,45,"F",1,,"R","","",45,0
2020,40134709,129795188,1,18-MAY-20,2,"C",51,5,53,"M",1,2,"R","","",53,0
2020,40129776,129795429,1,04-APR-20,3,"C",51,5,56,"M",1,2,"R","","",56,0
2020,40134914,129796934,1,11-MAY-20,2,"N",5,5,51,"F",1,2,"N","","",51,0
2020,40134940,129796988,1,23-JUN-20,2,"C",44,5,28,"M",1,2,"R","","",28,0
2020,40124459,129794541,1,29-SEP-20,2,"N",5,5,42,"M",2,2,"N","","",42,0
2020,40615093,131359929,1,29-OCT-20,1,"N",51,5,41,"M",1,,"R","","",41,0
2020,40129517,129796122,1,23-APR-20,3,"M",63,5,32,"M",1,,"R","","",32,0
2020,40615113,131359974,1,28-OCT-20,2,"N",5,5,36,"F",2,,"U","","",36,0
2020,40611267,131365687,1,27-OCT-20,1,"N",23,5,38,"F",1,2,"R","","",38,0
2020,40611283,131360359,1,09-NOV-20,2,"C",27,5,21,"F",1,2,"N","","",21,0
2020,40615318,131366006,1,31-OCT-20,3,"N",49,5,30,"M",1,2,"N","","",30,0
2020,40611378,131366039,1,28-OCT-20,1,"N",8,5,31,"M",1,2,"R","","",31,0
2020,40611393,131366110,1,20-AUG-20,1,"N",21,5,20,"M",2,2,"R","","",20,0
2020,40615340,131360644,1,28-OCT-20,2,"C",16,5,39,"M",1,2,"R","","",39,0
2020,40615347,131360670,1,05-OCT-20,1,"N",45,5,44,"M",2,,"R","","",44,0
2020,40611422,131360672,1,05-AUG-20,2,"N",45,5,15,"M",1,2,"R","H","",15,0
2020,40611438,131366249,1,15-AUG-20,1,"C",51,5,26,"M",1,2,"R","","",26,0
2020,40611462,131360770,1,14-JUL-20,3,"N",27,5,37,"M",1,2,"R","","",37,0
2020,40615398,131366460,1,06-SEP-20,2,"N",51,5,37,"M",1,2,"","","",37,0
2020,40129549,129794696,1,23-AUG-20,1,"N",51,5,34,"F",1,2,"R","","",34,0
2020,40134629,129796429,1,18-JUN-20,3,"N",27,5,31,"M",1,,"R","","",31,0
2020,40134657,129796492,1,08-APR-20,1,"N",51,5,52,"F",1,,"R","","",52,0
2020,40134767,129795325,1,01-JUL-20,2,"N",16,5,35,"M",1,2,"R","","",35,0
2020,40134877,129795514,1,14-MAR-20,3,"N",27,5,37,"M",1,2,"R","","",37,0
