"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,128432967,60,300,20-APR-20,143036996
2020,128432995,63,50,,143037029
2020,128433097,10,5,,143037144
2020,128433093,3,250,,143037140
2020,128433136,9,0,,143037186
2020,128433138,9,0,06-JUL-20,143037188
2020,128433136,20,282,,143037185
2020,128433148,38,700,,143037197
2020,128433169,63,2200,,143037222
2020,128433184,17,400,,143037242
2020,128431934,21,1200,,143035848
2020,128431979,39,400,,143035890
2020,128432095,38,500,,143036011
2020,128432116,63,200,,143036041
2020,128432136,3,23000,20-JUN-20,143036061
2020,128432128,3,23000,,143036054
2020,128432445,27,15,,143036406
2020,128432495,30,150,,143036459
2020,128432557,20,426,,143036521
2020,128432718,42,150,,143036710
2020,128432733,36,538,,143036726
2020,128432752,6,255,,143036753
2020,128432816,38,400,,143036822
2020,128432879,30,150,,143036891
2020,128432639,63,68,,143036606
2020,128432632,63,68,28-FEB-20,143036600
2020,128432754,25,100,,143036754
2020,128432955,6,200,,143036982
2020,128433122,29,150,,143037170
2020,128433153,63,500,,143037203
2020,129197241,19,4,16-APR-20,143964657
2020,129200918,19,4,,143964656
2020,129197260,8,733,,143964680
2020,129197270,52,0,,143964689
2020,129197272,4,3200,,143964692
2020,129197265,30,25,,143967856
2020,129200946,20,3200,,143964693
2020,129200965,63,1065,,143967874
2020,129200903,10,9,,143967818
2020,129200911,3,20000,,143967823
2020,129200912,3,17500,27-APR-20,143964653
2020,129197246,63,150,,143964662
2020,129197251,52,0,,143964666
2020,129197262,39,150,,143967852
2020,129197259,38,1100,,143964677
2020,129200939,16,720,,143967854
2020,129200939,15,720,,143964683
2020,129197264,36,600,,143964682
2020,129197271,10,,,143964688
2020,129197283,8,27,,143967870
2020,129200955,38,250,,143964701
2020,129197285,20,1800,,143964706
2020,129200960,2,3,,143964708
2020,129200960,20,10,,143964707
2020,129200960,19,42,,143964705
2020,129200970,52,0,,143964714
2020,129200974,3,500,,143967883
2020,129197298,8,10,,143964722
2020,129200980,16,350,,143967890
2020,129197313,8,38,,143967900
2020,129197310,16,50,,143964735
2020,129197316,20,351,,143964738
2020,129197317,25,20,,143964742
2020,129197317,20,368,,143967902
2020,129197317,61,100,,143964741
2020,129200997,63,150,,143967907
2020,129201007,30,400,,143964755
2020,129197336,63,1,,143964770
2020,129197336,10,,,143964771
2020,129197336,20,2472,,143964769
2020,129197337,61,100,,143967923
2020,129201023,9,0,,143967940
2020,129201030,20,400,,143967949
2020,129201030,22,0,,143967950
2020,129197354,20,756,,143964787
