"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,133074921,4
2019,133074919,4
2019,133070705,5
2019,133070704,4
2019,133062233,4
2019,133062237,5
2019,133070720,4
2019,133070770,2
2019,133070769,4
2019,133070831,5
2019,127212444,4
2019,127212447,5
2019,127226319,5
2019,127226413,4
2019,127228339,4
2019,127226441,4
2019,127212628,5
2019,127212814,4
2019,127228580,4
2019,127232913,4
2019,127226746,4
2019,127233037,5
2019,127226931,4
2019,127226959,4
2019,127226960,5
2019,127226965,4
2019,127212550,4
2019,127212647,3
2019,127212688,5
2019,127212689,5
2019,127212687,5
2019,127212686,5
2019,127212690,5
2019,127232908,5
2019,127226653,4
2019,127226654,4
2019,125172897,5
2019,125162866,4
2019,125168489,4
2019,125178050,5
2019,125173083,5
2019,125178191,4
2019,125178324,4
2019,125173272,4
2019,125177997,5
2019,125173035,4
2019,125173124,4
2019,125178165,4
2019,125173187,4
2019,125178399,4
2019,125169071,5
2019,125162837,4
2019,125178069,2
2019,125178169,4
2019,125178188,4
2019,125168692,4
2019,125178271,4
2019,125173247,2
2019,125178307,4
2019,125173042,4
2019,125173068,4
2019,125178070,4
2019,125178101,4
2019,125173141,4
2019,125178138,4
2019,125178323,4
2019,125162844,5
2019,125168433,5
2019,125172972,4
2019,125168534,4
2019,125168542,4
2019,125177994,5
2019,125173032,4
2019,125178105,5
2019,125173146,4
2019,125178154,5
2019,125178244,4
2019,125178245,4
2019,125178278,4
2019,125177890,5
2019,125177910,4
2019,125177927,4
2019,125177971,5
2019,125173022,5
2019,125173103,4
2019,125169039,5
2019,125168991,4
2019,125178484,4
2019,119311410,4
2019,119197684,4
2019,119197930,5
2019,119309065,4
2019,119203677,5
2019,119257406,4
2019,119257836,5
2019,119258301,4
2019,119258496,4
2019,119255280,4
2019,119255354,4
2019,119311620,4
2019,119300223,4
2019,119300505,4
2019,123237148,5
2019,123242056,5
2019,123237555,4
2019,123235074,5
2019,123242477,4
2019,123235218,4
2019,123235392,2
2019,123242753,4
2019,123235512,8
2019,123235512,4
2019,123235605,4
2019,119257384,5
2019,119257630,4
2019,119258095,4
2019,119259010,4
2019,119259420,4
2019,123235312,4
2019,123238431,4
2019,123242514,4
2019,123238067,5
2019,123242823,5
2019,123242917,2
2019,123238181,4
2019,123903470,2
2019,123903501,4
2019,123903511,5
2019,123903558,2
2019,123903556,2
2019,123903572,4
2019,123903570,4
2019,123903577,4
2019,123903527,4
2019,123903593,5
2019,123907149,4
