"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,130301803,135147314,21,40854186
2019,130325131,135134369,26,40863965
2019,130317370,135134379,1,40863969
2019,130301812,135140820,16,40850119
2019,130325166,135140820,16,40863970
2019,130325166,135147352,16,40863971
2019,130301812,135147353,16,40863972
2019,130325166,135147353,16,40854192
2019,130325171,135147357,1,40863973
2019,130317457,135134471,1,40854221
2019,130325604,135147774,26,40864080
2019,134518245,139340288,1,42766439
2019,134518251,139340295,21,42771429
2019,134518220,139331350,24,42766428
2019,134518220,139331351,24,42766429
2019,134518221,139331351,24,42771413
2019,134518221,139331350,24,42771414
2019,134518260,139340301,15,42771431
2019,134518261,139340302,24,42771432
2019,134518307,139331449,1,42771451
2019,134508987,139332108,3,42776501
2019,134513414,139340836,19,42766774
2019,134509181,139332290,24,42766783
2019,129421768,134214387,17,40491061
2019,129425185,134214410,9,40495575
2019,129417170,134217613,16,40491078
2019,129417180,134217624,21,40491079
2019,129417185,134214472,3,40491081
2019,129417276,134217794,16,40491120
2019,129425461,134214582,18,40495701
2019,129425462,134214582,18,40498508
2019,129425501,134220351,5,40495717
2019,129421943,134214600,1,40498515
2019,129425524,134220357,18,40495725
2019,129417305,134217888,16,40498524
2019,129425534,134217891,14,40498525
2019,129425535,134217891,14,40495731
2019,129425556,134214619,1,40491135
2019,129425559,134214619,1,40495736
2019,129421977,134217922,24,40498537
2019,129425598,134220405,8,40491145
2019,129422018,134217984,19,40498553
2019,135408481,140308821,9,43156546
2019,135408521,140315617,3,43156554
2019,135404794,140315527,24,43161422
2019,130325612,135147787,24,40864084
2019,134508236,139331364,1,42766433
2019,134513009,139340376,3,42776396
2019,134513009,139340375,25,42776397
2019,135408240,140315333,22,43156470
2019,135408474,140308814,15,43156545
2019,135408722,140315788,18,43156603
2019,135404770,140308764,16,43161414
2019,130325244,135147420,3,40863992
2019,135408264,140315351,1,43156475
2019,134518338,139331486,3,42771458
2019,134518348,139340377,16,42771462
2019,134518566,139331946,1,42771536
2019,134518145,139340187,16,42771403
2019,134518304,139340337,1,42771449
2019,134508299,139335061,27,42766469
2019,134518327,139335073,24,42771456
2019,134513004,139331501,24,42771460
2019,134518418,139340476,1,42771494
2019,134518453,139331760,24,42766567
2019,134518453,139331761,24,42766568
2019,134518563,139340607,3,42771534
2019,134508852,139331973,21,42766650
2019,134509092,139335483,1,42776527
2019,134509195,139340863,3,42766790
2019,134513443,139340863,3,42766791
2019,134518828,139340863,3,42766792
2019,134508724,139331845,18,42766587
2019,134518445,139331737,24,42771500
2019,134508620,139331737,24,42766563
2019,134518455,139340527,3,42771505
2019,135404921,140308911,1,43161450
2019,130325199,135140831,16,40863979
2019,130325197,135140831,17,40863978
2019,130325395,135147565,16,40864029
2019,130317616,135134632,3,40864035
2019,135408247,140315339,21,43156474
2019,135408279,140315373,16,43156486
2019,135408280,140315373,16,43156487
2019,135404800,140315537,17,43161424
2019,134513094,139331695,24,42766553
2019,135408281,140315374,3,43156488
2019,135408522,140315619,1,43161440
2019,135408522,140315618,9,43156555
2019,135408547,140315640,19,43156565
2019,135408755,140315817,16,43156609
2019,135408363,140315458,5,43156507
2019,130325581,135134827,24,40864068
2019,130325587,135141008,24,40864072
2019,130325588,135141008,24,40864073
2019,130317873,135134885,1,40854342
2019,130325611,135147783,16,40864083
2019,130325565,135147739,3,40864059
2019,130301983,135140998,5,40850165
2019,130325601,135147767,24,40864079
2019,130325645,135147824,3,40864098
2019,130325658,135147838,16,40864101
2019,130325661,135147843,21,40864103
2019,130325722,135147893,24,40864119
2019,130328042,135150041,26,40854398
2019,130302096,135147943,4,40850207
2019,130302097,135147943,5,40850208
2019,130328094,135150098,24,40854418
2019,130325788,135147950,18,40864145
2019,130325577,135147751,18,40864064
2019,130325578,135147751,1,40864065
2019,130325702,135149991,1,40864113
2019,130327988,135149991,1,40854376
2019,135408222,140315314,16,43156465
2019,135408381,140315473,5,43156512
2019,135408402,140315498,18,43156520
2019,130325104,135147298,16,40854182
2019,130325124,135140811,26,40863963
2019,130325213,135147392,16,40863982
2019,130325214,135147391,16,40863984
2019,130325213,135147391,25,40863983
2019,130325214,135147392,25,40863985
2019,130301827,135134430,17,40850126
2019,130325354,135140869,3,40854238
2019,130325354,135140870,16,40850135
2019,130325434,135147601,9,40864033
2019,130325475,135134665,14,40864041
2019,130325489,135147662,16,40864042
2019,130325490,135147662,16,40864043
2019,135408287,140308654,16,43156491
2019,135408385,140315476,18,43161394
2019,135408526,140308860,3,43156558
2019,135408525,140308860,16,43156557
2019,135408566,140315656,1,43156569
2019,135404767,140308760,18,43161411
2019,135404767,140308761,24,43161412
2019,135404767,140308759,18,43161410
2019,135408579,140315668,18,43156573
2019,135408351,140315450,24,43156505
2019,135408272,140315366,23,43156479
2019,130325085,135147277,9,40863949
2019,130317387,135134403,26,40854197
2019,130317390,135134405,3,40854200
2019,130325341,135134534,3,40864023
2019,130325357,135140873,16,40864025
2019,130301908,135140923,1,40850144
2019,130301925,135140941,16,40850146
2019,130317707,135134711,19,40854263
2019,130325513,135147686,3,40864045
2019,130325115,135147304,17,40863961
2019,130317365,135147322,1,40854190
2019,130325133,135147322,1,40863966
2019,130317364,135147321,13,40854187
2019,130317364,135147322,1,40854188
2019,130317365,135147321,19,40854189
2019,130325133,135147321,15,40854191
2019,130325260,135147444,1,40863995
2019,130325260,135147443,1,40863996
2019,130325310,135147493,16,40864013
2019,130325337,135134525,16,40864021
2019,130325338,135134525,26,40864022
2019,130325111,135147303,1,40863955
2019,130325123,135147312,16,40863962
2019,130325112,135134359,16,40863957
2019,123237281,126688317,25,37990310
2019,123237279,126688317,9,37985545
2019,123237279,126691159,25,37981448
2019,123237281,126691159,9,37985547
2019,123237634,126683318,1,37985672
2019,123242500,126688800,1,37990457
2019,119197394,122517819,19,36495463
2019,119198472,122526978,21,36488460
2019,124470030,127958881,21,38492434
2019,124479023,127962331,21,38490692
2019,124476150,127958934,3,38490709
2019,124476155,127958937,21,38492448
